"country","rate2019both","rate2019male","rate2019female"
"Lesotho","72.4000","116","30.1000"
"Guyana","40.3000","63","17.4000"
"Eswatini","29.4000","55.1000","4.7000"
"South Korea","28.6000","40.2000","16.9000"
"Kiribati","28.3000","48.6000","8.7000"
"Micronesia","28.2000","43.2000","12.7000"
"Lithuania","26.1000","45.4000","9.6000"
"Suriname","25.4000","38.8000","11.8000"
"Russia","25.1000","43.6000","9.1000"
"South Africa","23.5000","37.6000","9.8000"
"Ukraine","21.6000","39.2000","6.5000"
"Belarus","21.2000","36.7000","7.7000"
"Uruguay","21.2000","34.5000","8.9000"
"Montenegro","21","31.7000","10.4000"
"Latvia","20.1000","35.5000","7"
"Slovenia","19.8000","31.4000","8.3000"
"Belgium","18.3000","24.9000","11.8000"
"Vanuatu","18","28.1000","7.6000"
"Mongolia","17.9000","30.7000","5.4000"
"Kazakhstan","17.6000","29","6.8000"
"Hungary","16.6000","25.9000","8.3000"
"Croatia","16.4000","25.3000","8.1000"
"United States","16.1000","25","7.5000"
"Botswana","16.1000","26.3000","6.4000"
"Japan","15.3000","21.8000","9.2000"
"Finland","15.3000","23.2000","7.6000"
"Estonia","14.9000","24.3000","6.5000"
"Sweden","14.7000","19.9000","9.5000"
"Moldova","14.7000","26.1000","4.1000"
"Solomon Islands","14.7000","27","1.9000"
"Austria","14.6000","22.8000","6.7000"
"Cuba","14.5000","23","6"
"Switzerland","14.5000","20.2000","9"
"Zimbabwe","14.1000","20","8.8000"
"Sri Lanka","14","22.3000","6.2000"
"France","13.8000","20.4000","7.6000"
"Mozambique","13.6000","22","5.7000"
"India","12.7000","14.1000","11.1000"
"Samoa","12.6000","18","6.7000"
"Australia","12.5000","18.6000","6.4000"
"Germany","12.3000","18.6000","6.2000"
"Central African Republic","12.3000","19.6000","5.2000"
"Slovakia","12.1000","21.2000","3.4000"
"Iceland","11.9000","19.8000","3.9000"
"Canada","11.8000","17.6000","6.1000"
"Netherlands","11.8000","15.5000","8.3000"
"Norway","11.8000","15.8000","7.7000"
"Portugal","11.5000","17.9000","5.7000"
"Serbia","11.4000","16.6000","6.3000"
"Poland","11.3000","20.1000","3.1000"
"Luxembourg","11.3000","15.3000","7.1000"
"Singapore","11.2000","15","7.1000"
"New Zealand","11","16.5000","5.8000"
"Eritrea","10.9000","16.6000","5.2000"
"Bosnia and Herzegovina","10.9000","17.6000","4.5000"
"Denmark","10.7000","14.9000","6.5000"
"Romania","9.7000","16.5000","3.3000"
"Bulgaria","9.7000","15.3000","4.4000"
"Namibia","9.7000","16.7000","3.2000"
"Haiti","9.6000","11.8000","7.6000"
"Ireland","9.6000","15.4000","3.9000"
"Djibouti","9.6000","12.6000","6.4000"
"Mauritius","9.5000","16.3000","2.8000"
"North Korea","9.4000","11.2000","7.6000"
"North Macedonia","9.4000","13.9000","4.8000"
"Georgia","9.2000","16","3"
"Nepal","9","16.4000","2.7000"
"Cameroon","9","13.6000","4.4000"
"Chile","9","14.9000","3.2000"
"Fiji","9","12.2000","5.7000"
"Pakistan","8.9000","13.3000","4.3000"
"Ivory Coast","8.9000","14.9000","2.8000"
"Bahrain","8.9000","12.5000","2.4000"
"Thailand","8.8000","15","2.9000"
"Togo","8.8000","13.8000","3.9000"
"Trinidad and Tobago","8.7000","13.9000","3.6000"
"Argentina","8.4000","13.7000","3.3000"
"Gabon","8.4000","14.2000","2.4000"
"China","8.1000","9.8000","6.2000"
"Costa Rica","8.1000","14.1000","2"
"Seychelles","8.1000","14.4000","1.4000"
"Uzbekistan","8","11.3000","4.8000"
"United Kingdom","7.9000","11.8000","4"
"Somalia","7.9000","12","3.8000"
"Equatorial Guinea","7.9000","9.4000","6"
"Saint Lucia","7.9000","14.3000","1.7000"
"Benin","7.8000","11.8000","3.8000"
"Spain","7.7000","11.4000","4.2000"
"Ecuador","7.6000","11.6000","3.6000"
"Vietnam","7.5000","10.4000","4.7000"
"Burkina Faso","7.5000","11.3000","3.7000"
"Kyrgyzstan","7.4000","11.7000","3.2000"
"Zambia","7.3000","12","2.7000"
"Morocco","7.2000","9.7000","4.7000"
"Belize","7.1000","12.5000","1.7000"
"Guinea","7","9.2000","4.9000"
"Guinea-Bissau","7","10.2000","3.9000"
"Brazil","6.9000","10.9000","3"
"DR Congo","6.7000","10.6000","2.8000"
"Italy","6.7000","10.1000","3.5000"
"Sierra Leone","6.7000","8.3000","5.1000"
"Ghana","6.6000","11.8000","1.2000"
"Chad","6.4000","9.6000","3.3000"
"United Arab Emirates","6.4000","8","3"
"Burundi","6.2000","9.2000","3.4000"
"Bolivia","6.2000","8.4000","4.1000"
"Kenya","6.1000","9.1000","3.2000"
"Angola","6.1000","10","2.3000"
"El Salvador","6.1000","10.5000","2.1000"
"Malta","6.1000","9.8000","2.3000"
"Saudi Arabia","6","8.9000","2"
"Senegal","6","9.2000","3"
"Paraguay","6","8.7000","3.2000"
"Guatemala","5.9000","9.3000","2.6000"
"Yemen","5.8000","7","4.6000"
"Qatar","5.8000","7.2000","1.7000"
"Malaysia","5.7000","8.9000","2.3000"
"Turkmenistan","5.7000","8.8000","2.7000"
"Rwanda","5.6000","8.2000","3"
"Madagascar","5.5000","7.6000","3.4000"
"Ethiopia","5.4000","7.7000","3.1000"
"Malawi","5.4000","9.2000","1.7000"
"Laos","5.4000","7.6000","3.2000"
"Comoros","5.4000","7","3.8000"
"Mexico","5.3000","8.5000","2.2000"
"Niger","5.3000","7.2000","3.3000"
"Israel","5.3000","8.4000","2.3000"
"Iran","5.2000","7.7000","2.8000"
"Greece","5.1000","8.4000","1.9000"
"Cambodia","4.9000","7","2.8000"
"Dominican Republic","4.9000","8","1.8000"
"Oman","4.9000","6.8000","1"
"Gambia","4.8000","6.6000","3"
"Uganda","4.6000","7.6000","1.7000"
"Bhutan","4.6000","6.3000","2.7000"
"Libya","4.5000","6","2.9000"
"Liberia","4.5000","5.6000","3.3000"
"Nicaragua","4.4000","6.9000","1.9000"
"Tanzania","4.3000","6.6000","2"
"Tajikistan","4.3000","5.7000","2.8000"
"Albania","4.3000","5.9000","2.7000"
"Afghanistan","4.1000","4.6000","3.6000"
"Mali","4.1000","5.3000","2.9000"
"Azerbaijan","4.1000","6.6000","1.6000"
"Colombia","3.9000","6.1000","1.8000"
"South Sudan","3.9000","5.7000","2"
"Sudan","3.8000","4.9000","2.8000"
"Tonga","3.8000","5","2.6000"
"Bangladesh","3.7000","5.7000","1.7000"
"Timor-Leste","3.7000","5.3000","2"
"Iraq","3.6000","5.2000","2"
"Cyprus","3.6000","6","1.3000"
"Nigeria","3.5000","5","1.9000"
"Bahamas","3.5000","5.9000","1.3000"
"Tunisia","3.3000","4.7000","1.9000"
"Armenia","3.3000","5.6000","1.3000"
"Mauritania","3.1000","4","2.2000"
"Egypt","3","4","2"
"Papua New Guinea","3","4.3000","1.6000"
"Myanmar","2.9000","4.9000","1.1000"
"Panama","2.9000","4.7000","1"
"Kuwait","2.9000","4.3000","0.7000"
"Peru","2.8000","4.2000","1.4000"
"Lebanon","2.8000","3.8000","1.7000"
"Maldives","2.7000","3.9000","0.8000"
"Brunei","2.7000","4.4000","0.8000"
"Algeria","2.5000","3.1000","1.8000"
"Indonesia","2.4000","3.7000","1.1000"
"Turkey","2.4000","3.6000","1.2000"
"Jamaica","2.4000","3.7000","1.1000"
"Philippines","2.2000","3.1000","1.2000"
"Venezuela","2.1000","3.5000","0.7000"
"Honduras","2.1000","3.3000","0.8000"
"Jordan","1.6000","2.5000","0.7000"
"Sao Tome and Principe","1.5000","2.2000","0.8000"
"Saint Vincent and the Grenadines","1","1.3000","0.6000"
"Grenada","0.7000","0.6000","0.7000"
"Barbados","0.6000","0.9000","0.3000"
"Antigua and Barbuda","0.4000","0","0.8000"
