,Rank,Country,Score,Economy,Social Support,Life Expectancy,Freedom,Generosity,Government Trust,Year,Deaths / million,Deaths
0,1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,2019,1058,5858
1,2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,2019,1196,7004
2,3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,2019,747,4038
3,4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2019,575,213
4,5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,2019,1297,22713
5,6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,2019,1610,13995
6,7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,2019,1920,20100
7,8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,2019,384,1972
8,9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,2019,1179,45012
9,10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2019,2317,20677
10,11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,2019,570,14783
11,12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,2019,1729,8913
12,13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,2019,1257,11681
13,14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,2019,1762,1127
14,15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,2019,3064,206150
15,16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,2019,,
16,17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,2019,1787,149079
17,18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,2019,2809,32625
18,19,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128,2019,3127,1053840
19,20,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,2019,3897,40967
20,21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,2019,250,2342
21,22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,2019,1526,804
22,23,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,2019,2603,329895
23,24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,2019,2296,154812
24,25,Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097,2019,443,10579
25,26,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,2019,3120,60822
26,27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,2019,1120,19722
27,28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,2019,259,9332
28,29,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,2019,253,682
29,30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,2019,2394,113725
30,31,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,2019,1951,8490
31,32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,2019,3198,685424
32,33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,2019,2181,7473
33,34,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,2019,294,1608
34,35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074,2019,669,4228
35,36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,2019,2981,176609
36,37,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11,2019,1038,1520
37,38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,2019,3751,20436
38,39,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016,2019,,
39,40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,2019,3063,117351
40,41,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,2019,48,1637
41,42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,2019,3339,9306
42,43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,2019,2751,141746
43,44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,2019,3210,6805
44,45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,2019,35,244
45,46,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006,2019,1795,3199
46,47,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,2019,2868,129855
47,48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,2019,3462,66921
48,49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,2019,1314,1178
49,50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,2019,2016,35885
50,51,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,2019,603,2563
51,52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,2019,456,32655
52,53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,2019,3186,5971
53,54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,2019,538,27891
54,55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,2019,2002,2661
55,56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,2019,1165,3296
56,57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,2019,788,1024
57,58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,2019,351,43842
58,59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,2019,1069,10992
59,60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,2019,992,19048
60,61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,2019,1840,22228
61,62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,2019,4882,47409
62,63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,2019,2918,19564
63,64,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162,2019,,
64,65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,2019,6415,216309
65,66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,2019,2426,24966
66,67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,2019,132,30607
67,68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,2019,2607,378324
68,69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,2019,549,62587
69,70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,2019,2458,16891
70,71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0,2019,3856,11808
71,72,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,2019,955,6437
72,73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,2019,4427,2780
73,74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,2019,12,125
74,75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,2019,4149,16849
75,76,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287,2019,1321,9901
76,77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,2019,394,4384
77,78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,2019,4924,16108
78,79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,2019,1192,101068
79,80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,2019,1081,36317
80,81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,2019,743,7118
81,82,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034,2019,3149,32894
82,83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,2019,636,2130
83,84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,2019,4528,9524
84,85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,2019,14,3155
85,86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,2019,458,2991
86,87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,2019,,
87,88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,2019,155,6879
88,89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,2019,439,16277
89,90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,2019,958,9886
90,91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,2019,1905,10659
91,92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,2019,576,157915
92,93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,2019,,
93,94,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,2019,442,43141
94,95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,2019,27,21
95,96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,2019,71,1935
96,97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,2019,5472,37682
97,98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,2019,44,1459
98,99,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09,2019,29,822
99,100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,2019,400,12016
100,101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,2019,1266,14116
101,102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,2019,12,163
102,103,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093,2019,,
103,104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,2019,130,306
104,105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164,2019,102,758
105,106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,2019,1719,102146
106,107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,2019,1256,3588
107,108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,2019,206,5812
108,109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,2019,184,3056
109,110,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066,2019,,
110,111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,2019,116,1968
